model,subject,freq_band,time_low,time_high,best_epoch,best_val_accuracy,best_test_accuracy,final_train_accuracy,final_val_accuracy,final_test_accuracy,final_train_loss,final_val_loss,final_test_loss
lstm,0,5-95Hz,20,460,15,0.16733870967741934,0.14919354838709678,0.8630533199195171,0.14516129032258066,0.14264112903225806,0.4495647735518949,5.2849976689584794,5.493471935872109
EEGChannelNet,0,5-95Hz,20,460,49,0.38306451612903225,0.3865927419354839,0.732645875251509,0.3634072580645161,0.35735887096774194,0.7430750816400862,2.826623160031534,2.754304802225482
lstm,0,14-70Hz,20,460,21,0.2091733870967742,0.1975806451612903,0.852112676056338,0.18598790322580644,0.18094758064516128,0.46194130045847154,4.40566487946818,4.513272823825959
EEGChannelNet,0,14-70Hz,20,460,57,0.40625,0.421875,0.704351106639839,0.3865927419354839,0.3810483870967742,0.8089101269571354,2.2182613659289574,2.2457543150071175
lstm,0,55-95Hz,20,460,23,0.2555443548387097,0.21774193548387097,0.8778923541247485,0.2469758064516129,0.21219758064516128,0.3803856716204577,4.077847378869211,4.211119109584439
EEGChannelNet,0,55-95Hz,20,460,61,0.5020161290322581,0.46622983870967744,0.6753018108651911,0.4899193548387097,0.4566532258064516,0.8484220801584678,1.5890162317983565,1.6542100194961793
